hashed_id,mean_normalized_num_actions,num_top10pct_rows_for_participant
3a51fb2241834d80cd557f6649157744,2.022989,1
86b3c54a2491a6cb73f867ea9fb144a1,2.020921,1
7c3f0d5ec05185be127ab78876395426,2.018595,3
468133debd1059f212dc2013d14d463d,2.011494,1
220b6df09c1946d97c745853a58fef5a,2.008090,2
1f7cc6dbe731e3fb05ee41b4a9cd7cb6,2.007435,1
2161250b0cb5807e5aae06240034a8f4,2.003929,1
37289334396727fffe878187ca738a35,2.002907,1
aba28253771a798ffe0b943a41c5f2dd,2.000492,2
e709577bc7380f4fd83534d7542c58f7,2.000000,1
