participant_id,total_off_path_steps,n_tasks_solved,avg_off_path_per_task,mean_dist_to_target,mean_rand_baseline_dist,mean_dist_delta,mean_color_relevance,mean_rand_baseline_color,mean_color_delta,mean_frac_wrong_color,mean_frac_wrong_coord
95f395373062c6d5bf2c4eb15b3235f1,251,5,50.2,3.372514619883041,4.729833333333333,1.3573187134502922,0.7789473684210527,0.5185185185185185,0.26042884990253407,1.0,0.0
061f06908316d683089d3a04d5004fbf,191,3,63.666666666666664,4.637566137566138,5.892250000000001,1.2546838624338628,0.9973544973544973,0.3333333333333333,0.664021164021164,1.0,0.0
b26c49180b83bf949a81df13cdfe602a,131,4,32.75,3.8203125,3.9705,0.15018749999999992,0.0,0.1111111111111111,-0.1111111111111111,1.0,0.0
0954867f72ce85860194b72a05f5d048,112,5,22.4,0.7125,7.58875,6.87625,0.9625,0.3333333333333333,0.6291666666666667,1.0,0.0
23609d6e8ff2ec858b2e02d424674908,110,5,22.0,0.716765873015873,5.97975,5.2629841269841275,1.0,0.3333333333333333,0.6666666666666667,1.0,0.0
c0841ccd8b2c5b64b36888e79697cb1a,105,9,11.666666666666666,5.570016949763786,4.706,-0.8640169497637852,0.4580403187998125,0.2962962962962963,0.16174402250351616,0.9662447257383966,0.03375527426160337
b9038fbf53e1925bee0bc00b49663527,95,4,23.75,0.7765957446808511,1.84725,1.070654255319149,0.9946808510638299,0.2222222222222222,0.7724586288416075,1.0,0.0
22fabcb92d8909e75c71f892ca2a586f,94,4,23.5,2.5492610837438425,2.3512500000000003,-0.19801108374384224,0.9712643678160919,0.5555555555555556,0.4157088122605364,1.0,0.0
70d343789ca526b9c3a5cdfa731999cf,87,5,17.4,1.2629708599857852,4.718,3.4550291400142146,1.0,0.5925925925925926,0.40740740740740744,1.0,0.0
7ed9ec4ca6d7e3c4e2289d79a830eed3,81,5,16.2,0.5555555555555555,0.7824999999999999,0.2269444444444444,0.9696969696969697,0.3703703703703703,0.5993265993265994,1.0,0.0
4b9ff461bcb8a879552b1f91fafae97c,78,4,19.5,1.4407894736842106,2.48825,1.0474605263157897,0.5855263157894737,0.2222222222222222,0.36330409356725146,1.0,0.0
e2de7b05ed553c5462622523721ef0fc,73,4,18.25,0.880281690140845,1.84725,0.966968309859155,0.9929577464788732,0.2222222222222222,0.770735524256651,1.0,0.0
048022a60c2cf8ae0032596f4a1a1623,70,2,35.0,0.22125723738626962,2.294,2.0727427626137302,0.3945409429280397,0.3333333333333333,0.06120760959470638,1.0,0.0
4d3abff8640f887167e48b2002ebc833,66,3,22.0,3.3636363636363638,3.7615,0.3978636363636361,1.0,0.2222222222222222,0.7777777777777778,1.0,0.0
8d7c56529be9303b05e8788777d6c7cd,65,6,10.833333333333334,0.6055646481178396,6.7625,6.156935351882161,1.0,0.38888888888888884,0.6111111111111112,1.0,0.0
2a9f88a280e5a494865b11e466663ff0,65,8,8.125,2.508888888888889,1.7604999999999997,-0.7483888888888887,0.08074074074074074,0.1851851851851852,-0.10444444444444445,1.0,0.0
7426449648c92ad3972bf2c82e51c530,64,5,12.8,1.176510989010989,2.108875,0.9323640109890109,0.6208791208791209,0.3055555555555556,0.31532356532356537,1.0,0.0
16cc2e4ab0e117ad863ecadbc77288f6,64,5,12.8,0.73,4.4785,3.7485,1.0,0.2777777777777778,0.7222222222222222,1.0,0.0
1337f45837efc2348db7048836e9c2c7,61,4,15.25,6.9491525423728815,5.3635,-1.5856525423728813,1.0,0.2222222222222222,0.7777777777777778,1.0,0.0
e709577bc7380f4fd83534d7542c58f7,60,5,12.0,0.5,0.5804999999999999,0.08049999999999996,1.0,0.3888888888888889,0.6111111111111112,1.0,0.0
f889172bfc0984049bf129f81c9c9782,58,5,11.6,0.0,0.001,0.001,1.0,0.5555555555555556,0.4444444444444444,1.0,0.0
9a2397cc1d145b1aff7a69a7fb51e3ff,58,4,14.5,0.6453900709219859,2.4676666666666667,1.822276595744681,0.3687943262411348,0.40740740740740744,-0.038613081166272635,1.0,0.0
16780d6eac2d3a612f930fa627cd41eb,57,5,11.4,0.16666666666666666,7.374666666666667,7.208000000000001,1.0,0.4444444444444444,0.5555555555555556,1.0,0.0
069b5bcb5260e313c6c0ca720699b803,56,10,5.6,0.6285714285714286,2.7316000000000003,2.1030285714285717,0.8,0.2666666666666667,0.5333333333333333,1.0,0.0
0bec935fe961c9d91094854eae249ec5,51,4,12.75,2.125220458553792,4.203166666666666,2.077946208112875,1.0,0.22222222222222224,0.7777777777777778,1.0,0.0
2f9e6693f652735a1a8a67c1237623bf,51,5,10.2,0.0,0.6015,0.6015,0.0,0.2222222222222222,-0.2222222222222222,1.0,0.0
aba28253771a798ffe0b943a41c5f2dd,51,4,12.75,2.467073170731707,3.5825,1.1154268292682927,0.9878048780487805,0.2222222222222222,0.7655826558265583,1.0,0.0
e5668c80c36691fee6f46ee5f8ce2061,50,4,12.5,8.142857142857142,9.3965,1.2536428571428573,1.0,0.16666666666666666,0.8333333333333333,1.0,0.0
3ebdc1cb74e9f8f6017a9114d8d7a535,50,4,12.5,0.6914893617021276,6.234500000000001,5.543010638297872,0.09574468085106383,0.16666666666666666,-0.07092198581560283,1.0,0.0
ee67360c387825a516bd0dfd39034357,50,5,10.0,2.8444444444444446,3.0555,0.21105555555555555,1.0,0.5555555555555556,0.4444444444444444,1.0,0.0
83bed31e4c57ed16bc89e8a1091f57f5,49,5,9.8,2.282608695652174,3.0205,0.7378913043478261,0.1956521739130435,0.2222222222222222,-0.026570048309178723,1.0,0.0
6f56a4b8b2038318a5bdfe2e306fe5c6,49,4,12.25,0.5208333333333334,3.358,2.8371666666666666,1.0,0.7222222222222222,0.2777777777777778,1.0,0.0
561824733a37b0d0bfccd5cfbdb43485,49,5,9.8,0.0,0.3965,0.3965,1.0,0.4444444444444444,0.5555555555555556,1.0,0.0
76245f5e1d964880333ffc64f2be1770,49,4,12.25,2.4573643410852712,9.76,7.302635658914728,0.6666666666666666,0.3333333333333333,0.33333333333333337,1.0,0.0
5ce2b56ad88ba85e1d3ec99b46ebf978,47,5,9.4,0.25,1.1112499999999998,0.8612499999999998,1.0,0.4444444444444444,0.5555555555555556,1.0,0.0
b0b982ac561dc98e1a63662e48e1f5ff,47,5,9.4,0.24444444444444444,9.937249999999999,9.692805555555555,0.8444444444444444,0.2777777777777778,0.5666666666666667,1.0,0.0
b0f00a4158dcae3b1ce52bd4a2f1053e,47,3,15.666666666666666,1.0760869565217392,4.1555,3.0794130434782607,1.0,0.3333333333333333,0.6666666666666667,1.0,0.0
a404e9216c9c854585bb2547aadea12b,47,4,11.75,1.3513348588863465,1.6046666666666667,0.2533318077803202,0.7971014492753623,0.4074074074074074,0.3896940418679549,1.0,0.0
6026d2563d049de8566b85ce9dd27830,47,5,9.4,8.977272727272727,5.3635,-3.6137727272727265,1.0,0.2222222222222222,0.7777777777777778,1.0,0.0
81cdf1633c4d2b464f12a2ad628ffaeb,47,5,9.4,0.8611111111111112,5.351500000000001,4.490388888888889,0.9047619047619048,0.3333333333333333,0.5714285714285715,1.0,0.0
d104d6afb3686f3e943cfb5374ff00e2,46,5,9.2,1.0694444444444444,3.93025,2.860805555555556,1.0,0.4722222222222222,0.5277777777777778,1.0,0.0
0727096a7fe1e756721b3b85b6e19e11,45,7,6.428571428571429,0.3111111111111111,14.615,14.303888888888888,1.0,0.4444444444444444,0.5555555555555556,1.0,0.0
a50081e2168f81433676d6d4a60c1ed2,45,5,9.0,0.4481981981981982,1.4418333333333333,0.993635135135135,0.8108108108108109,0.3333333333333333,0.4774774774774775,1.0,0.0
2f07d9a1ef1a816d50ac96243e3ee254,45,5,9.0,1.2727272727272727,1.9715,0.6987727272727273,0.5681818181818181,0.1111111111111111,0.45707070707070707,1.0,0.0
7cdd9795e41b26aa463e746e59eee005,45,4,11.25,0.4166666666666667,0.7593333333333332,0.3426666666666666,0.8333333333333334,0.25925925925925924,0.5740740740740741,1.0,0.0
e20942a7d663d1095023069cd46105ee,44,4,11.0,1.0526315789473686,1.18075,0.1281184210526315,1.0,0.16666666666666666,0.8333333333333333,1.0,0.0
2f168c5350aa8656a307ab6ff4e89714,44,5,8.8,0.34959349593495936,2.6243333333333334,2.274739837398374,0.34959349593495936,0.3703703703703704,-0.020776874435411003,1.0,0.0
b565b9251253827e0545d5fcc99a160f,43,3,14.333333333333334,0.38095238095238093,1.0596666666666665,0.6787142857142857,1.0,0.5185185185185185,0.48148148148148157,1.0,0.0
eae4bd2fe6982ce0269fdb9aacd93dea,43,5,8.6,0.6756756756756757,5.656,4.980324324324324,0.75,0.3333333333333333,0.4166666666666667,1.0,0.0
9b9ad9980557f3ac1615205f66d32c0a,42,5,8.4,0.5277777777777778,1.66525,1.1374722222222222,0.7916666666666667,0.3333333333333333,0.45833333333333337,1.0,0.0
00136a0f6142ddb48fd80ea8ff22f12d,42,2,21.0,4.375,10.198,5.823,0.925,0.3333333333333333,0.5916666666666668,1.0,0.0
f680d67c21e6e051dc9f185a91c5be7b,42,5,8.4,0.7083333333333334,4.996666666666667,4.288333333333333,1.0,0.3333333333333333,0.6666666666666666,1.0,0.0
ab95782d4e9410ef7f416a3137924b90,42,7,6.0,0.10833333333333334,7.096875000000001,6.988541666666666,1.0,0.4444444444444444,0.5555555555555556,1.0,0.0
3ca04e43aa86e5b396ddf834922d23ba,40,5,8.0,0.3635555555555555,7.2657,6.902144444444444,0.7555555555555555,0.5777777777777777,0.17777777777777776,1.0,0.0
faad81dd4a698db576d23febbfe9812b,40,4,10.0,1.435897435897436,1.6420000000000001,0.20610256410256417,1.0,0.1111111111111111,0.8888888888888888,1.0,0.0
996647c2a8d40c357fecec3ef398ad12,40,4,10.0,0.7307692307692308,0.8538333333333333,0.12306410256410254,1.0,0.3703703703703704,0.6296296296296297,1.0,0.0
548447017f10dfcdb83e4d3b13daf553,39,4,9.75,0.4666666666666666,2.2365,1.7698333333333334,0.3333333333333333,0.40740740740740744,-0.07407407407407408,1.0,0.0
2049195aadec03fb126c94e51a205503,39,5,7.8,0.28205128205128205,0.188,-0.09405128205128205,1.0,0.2222222222222222,0.7777777777777778,1.0,0.0
f9eb47fca19ae78a88df6da565d18061,39,5,7.8,0.9616161616161616,5.704833333333333,4.743217171717172,0.8060606060606061,0.2962962962962963,0.5097643097643098,1.0,0.0
a3dc092b574335d47777574994159231,37,5,7.4,0.8447619047619048,3.9953000000000003,3.1505380952380952,1.0,0.24444444444444446,0.7555555555555555,1.0,0.0
eba2a92544ddf47684572e689664bec9,37,10,3.7,4.019607843137255,4.653,0.6333921568627449,0.6666666666666666,0.1851851851851852,0.48148148148148145,1.0,0.0
23d102b56921182b4221066a6b64684a,37,3,12.333333333333334,1.5480769230769231,3.233,1.684923076923077,0.5881410256410257,0.2777777777777778,0.31036324786324787,1.0,0.0
37289334396727fffe878187ca738a35,37,4,9.25,0.972972972972973,1.6995,0.726527027027027,0.13513513513513514,0.2222222222222222,-0.08708708708708707,1.0,0.0
ab5520cf0d69c5eeecebc9f8486aca42,36,4,9.0,0.7291666666666666,5.956499999999999,5.227333333333333,1.0,0.25925925925925924,0.7407407407407408,1.0,0.0
3b14d33521f80ad0e41cafb264b84b2a,36,4,9.0,0.5,13.56125,13.06125,0.21212121212121213,0.2777777777777778,-0.06565656565656564,1.0,0.0
bd9d0c37c7a80a023cf1703d4941c6aa,36,4,9.0,1.0606060606060606,7.88325,6.82264393939394,0.5,0.4444444444444444,0.05555555555555558,1.0,0.0
88b5ad44e2d6ad799720832dcc45d014,36,3,12.0,0.5833333333333334,7.246,6.662666666666667,0.8541666666666667,0.2777777777777778,0.5763888888888888,1.0,0.0
a9fd2523f8aab42fab3d623ac7895165,35,9,3.888888888888889,0.0,9.668333333333335,9.668333333333335,0.6666666666666666,0.3703703703703704,0.2962962962962963,1.0,0.0
b45f198d54804113935eee8d2ad37f76,35,6,5.833333333333333,1.6994047619047619,3.20725,1.5078452380952378,0.800595238095238,0.3333333333333333,0.46726190476190477,1.0,0.0
ff1070a18395ae11bf95c9aff9290279,34,5,6.8,0.7833333333333333,3.0676666666666663,2.284333333333333,0.7666666666666666,0.1851851851851852,0.5814814814814815,1.0,0.0
3153c72d7fb5e86d9e60a9809df58492,33,5,6.6,2.6999999999999997,5.2428333333333335,2.5428333333333333,0.7333333333333334,0.3703703703703704,0.362962962962963,1.0,0.0
3a84dd63123259557525a0f484b1f7e7,33,3,11.0,1.0609523809523809,1.6908333333333336,0.6298809523809524,0.7561904761904761,0.4444444444444444,0.3117460317460317,1.0,0.0
3c77da5dce8dbede95574782508fe334,33,5,6.6,0.953125,3.423,2.469875,0.8611111111111112,0.5,0.36111111111111116,1.0,0.0
2cfea483e869811b28c49099f8fbd450,33,5,6.6,1.5923076923076924,3.0069999999999997,1.4146923076923077,0.6538461538461539,0.16666666666666666,0.48717948717948717,1.0,0.0
f9e09165f1e1ff303e547946790fc10e,32,4,8.0,1.7023809523809526,1.74,0.037619047619047497,1.0,0.2222222222222222,0.7777777777777778,1.0,0.0
c4d476d58119fdac1ed7f099e9e1715f,32,9,3.5555555555555554,0.5958333333333333,2.0325,1.4366666666666665,0.3541666666666667,0.38888888888888884,-0.03472222222222222,1.0,0.0
0a3df29992c174b104e0fa0d0cd0783d,32,5,6.4,4.586206896551724,3.1465,-1.4397068965517241,0.5517241379310345,0.1111111111111111,0.44061302681992337,1.0,0.0
523c02237b24945a4b6507366f1bb6b9,32,2,16.0,0.0,0.8545,0.8545,0.0,0.3333333333333333,-0.3333333333333333,1.0,0.0
dbf5aed4e58be81e9bafd9c17fceb3ca,32,4,8.0,1.21875,2.250125,1.0313750000000002,0.96875,0.2777777777777778,0.6909722222222223,1.0,0.0
ef3ae2d9b3cce05442698962a0a96f2b,31,5,6.2,2.2533333333333334,4.431166666666667,2.1778333333333335,0.6666666666666666,0.25925925925925924,0.40740740740740744,1.0,0.0
220b6df09c1946d97c745853a58fef5a,31,5,6.2,0.696,6.259500000000001,5.5635,0.608,0.3555555555555555,0.25244444444444447,1.0,0.0
54f19912e09f367b26fe9463385f18f6,30,4,7.5,3.8333333333333335,3.2125,-0.6208333333333336,1.0,0.5555555555555556,0.4444444444444444,1.0,0.0
4a0123e5ed19ea211635267bfcc515ab,30,4,7.5,1.0517241379310345,3.8575,2.8057758620689652,1.0,0.33333333333333337,0.6666666666666666,1.0,0.0
e35023b755c14aa0551170f7f51573ea,30,5,6.0,0.3452380952380953,4.785166666666666,4.439928571428571,0.9761904761904763,0.5555555555555555,0.42063492063492064,1.0,0.0
e18332c0e4a97dc621c91b8fdac4efc1,30,5,6.0,0.30952380952380953,6.984500000000001,6.67497619047619,0.42857142857142855,0.5,-0.07142857142857145,1.0,0.0
7cb59d15000bddbae2eb1f359fd26640,30,3,10.0,2.2333333333333334,3.117,0.8836666666666666,0.16666666666666666,0.3333333333333333,-0.16666666666666666,1.0,0.0
642257002697dc4107e9c743af831722,30,5,6.0,0.0,0.0145,0.0145,1.0,0.4444444444444444,0.5555555555555556,1.0,0.0
9c42c9d1a98ae2b661286f6ce1e9dcf1,30,1,30.0,5.038461538461538,10.198,5.159538461538462,1.0,0.3333333333333333,0.6666666666666667,1.0,0.0
08ac042547937929f95d827a01c90ec2,29,10,2.9,0.7243589743589745,1.7185,0.9941410256410257,0.6666666666666666,0.22222222222222224,0.4444444444444444,1.0,0.0
268080a7f531f86316766fa95518974a,29,5,5.8,1.9325396825396826,1.56475,-0.36778968253968247,0.875,0.33333333333333337,0.5416666666666667,1.0,0.0
57734e50c1f5ca6bdd9804c4a1029210,29,5,5.8,0.8504385964912281,3.908,3.0575614035087724,0.763157894736842,0.5555555555555556,0.20760233918128654,1.0,0.0
a4085434c62979fad818d95c4e4bf236,29,5,5.8,0.7116161616161616,1.6557500000000003,0.9441338383838384,1.0,0.4722222222222222,0.5277777777777778,1.0,0.0
60961232d00d04a020d7581a31a45ae9,29,8,3.625,1.0285714285714285,1.9667,0.9381285714285713,1.0,0.37777777777777777,0.6222222222222221,1.0,0.0
63dcb241b88d5ac635590dddbb2fb733,28,10,2.8,0.6578947368421053,1.675875,1.0179802631578947,0.6973684210526316,0.25,0.4473684210526316,1.0,0.0
0f8005a82b8e363ee5f7144f2954c781,28,5,5.6,1.0,10.7555,9.7555,1.0,0.25925925925925924,0.7407407407407408,1.0,0.0
505088cc9bd01f04a622712d10467f48,28,3,9.333333333333334,0.68,1.1492499999999999,0.46924999999999983,0.5,0.3333333333333333,0.1666666666666667,1.0,0.0
7d72179853f04a28dd274d7b145b5525,28,2,14.0,3.4615384615384617,4.843999999999999,1.3824615384615382,1.0,0.33333333333333337,0.6666666666666666,1.0,0.0
17d6ce7949b7bef3d02e19b0d67d5827,28,5,5.6,1.0592592592592593,0.7824999999999999,-0.2767592592592593,0.9166666666666666,0.3703703703703703,0.5462962962962964,1.0,0.0
c5a2bbe7ee11b48e8c8019f9b0fa9032,28,3,9.333333333333334,1.6481481481481481,1.3105,-0.33764814814814814,1.0,0.2222222222222222,0.7777777777777778,1.0,0.0
c91deae33e83c5853cfb1a4b1376ce42,28,4,7.0,3.1871345029239766,5.85525,2.668115497076023,0.5,0.1111111111111111,0.38888888888888884,1.0,0.0
51ea0c62ad9d4e9b12f8f225b9c20bb0,27,5,5.4,3.75,5.80425,2.0542499999999997,0.5,0.2222222222222222,0.2777777777777778,1.0,0.0
03a36ced2e0df61cb2f93ced068e83a1,27,10,2.7,0.75,3.68525,2.93525,0.8125,0.36111111111111116,0.4513888888888889,1.0,0.0
bb1525feb89505067c56998f566ee15f,27,5,5.4,0.16666666666666666,3.6506666666666665,3.484,1.0,0.4074074074074074,0.5925925925925927,1.0,0.0
c069ed6e828dd77713eacec70e5725b6,27,5,5.4,2.4,3.81125,1.41125,0.5833333333333333,0.2222222222222222,0.3611111111111111,1.0,0.0
e7159a71a398e55ebc03d1099f6fa212,27,2,13.5,0.9629629629629629,1.031,0.06803703703703701,0.07407407407407407,0.5555555555555556,-0.4814814814814815,1.0,0.0
b18f26f0d6c59db36f7dc4be8f7d976d,27,5,5.4,0.7936507936507936,2.1175,1.3238492063492064,0.9682539682539683,0.6666666666666666,0.30158730158730157,1.0,0.0
3914f6c13e5d791ae74d9c3e12b20ef3,26,4,6.5,0.652046783625731,2.001666666666667,1.3496198830409358,0.7456140350877193,0.25925925925925924,0.48635477582846004,1.0,0.0
a1726e860b2b9ee81c63be858359d19e,26,10,2.6,1.1904761904761905,2.048833333333333,0.8583571428571428,1.0,0.5555555555555555,0.4444444444444445,1.0,0.0
2286a7f8bb4fecb0b65a7dfa146ba6ae,26,3,8.666666666666666,0.75,2.2581666666666664,1.5081666666666667,0.9333333333333332,0.2962962962962963,0.6370370370370371,1.0,0.0
